Timestamp,In which region do you live?,What is your gender,How old are you?,Please give details of your school education,What is your occupation?,Are you aware of the novel coronavirus outbreak?,What do you know about the new coronavirus disease?,What kind of information have you received about the disease?                                                                                Mark all answers that are true:,Where did you hear about the new coronavirus from? Mark all channels that you heard about the disease from:,Which channel/who do you trust the most to receive information related tocoronavirus? Check the best channel for you to receive coronavirus information from:,How dangerous do you think the new coronavirus risk is? Choose the best answer that matches your belief about the disease:,Who do you think is at highest risk to get the coronavirus? Mark all those you think are likely to become sick:,Do you think you are likely to become sick with the new coronavirus ?,How does the coronavirus spread? Mark all the ways you think the disease spreads:,What are the main symptoms? Mark all the symptoms you think are caused by the new coronavirus:,Do you know how to prevent it? Choose all the prevention steps you know about:,What have you and your family done to to prevent becoming sick with coronavirus in the recent days?Mark all steps that you have taken:,Do you consider important to take actions to prevent the spread of coronavirus in your community?,What to do if you or someone from your family has symptoms of this disease? Mark all the actions you would take:,What more would you like to know about the disease?Choose all topics that you would like to know about:,Do you think the coronavirus disease is generating stigma against specific people? ,(If yes) Which group is being dis-criminated in your community because of coronavirus?,What do you usually do if you have a regular flu? Mark the 1-2 most typical actions you take:,From where/who do you usually receive information on flu and other diseases? Choose as many channels as you have heard about regular flu from:
2020/05/10 1:52:40 PM GMT,Western,Female,21,Tertiary/University,Student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Health unit/Health care worker;Family members;Friends;Community health workers;Other community mobilisers;Community leaders;Religious leaders;Traditional midwives;Any person from the community,Radio;TV;WhatsApp;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders;Traditional midwives,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to treat it,No,,I go to the health unit,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders
2020/05/10 2:58:12 PM GMT,Western,Female,22,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,Symptoms of the new coronavirus disease;How it is transmitted,Radio;TV;Social Media (not WhatsApp),Radio;TV;Social Media (not WhatsApp),Very dangerous,Youth,No,Airborne,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit,How to treat it,Yes,Chinese,I have never had the flu,Radio;TV
2020/05/10 3:18:13 PM GMT,Western,Female,23,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;How it is transmitted,Radio;TV;WhatsApp;Social Media (not WhatsApp);Community health workers,Radio;TV;Social Media (not WhatsApp),Very dangerous,Children under 5 years old,No,Droplets from infected people;Direct contact with infected people.,Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted,Yes,Asian,"I have never had the flu;stay at home, so I don’t infect others",Radio;TV;Health unit/Health care worker
2020/05/10 8:09:37 PM GMT,Western,Female,27,Tertiary/University,Trainee teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp),Radio;TV,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will look for a more experienced relative to advise me on what to do,Most at risk groups,No,,"Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others;I wear a mask;I drink tea until I recover",Radio;TV;Family members;Friends;Community health workers;Other community mobilisers;Community leaders;Religious leaders;Any person from the community
2020/05/10 9:19:01 PM GMT,Western,Female,24,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends,Very dangerous,Adults;Elderly persons;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,"stay at home, so I don’t infect others;I wear a mask",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers
2020/05/11 12:59:37 AM GMT,Western,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,Radio;TV;Health unit/Health care worker,Very dangerous,Children under 5 years old;Elderly persons;Health workers,Don´t know,Droplets from infected people;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit,How it is transmitted;Most at risk groups;How to treat it,Yes,Coronavirus survivals in Ghana,I go to the health unit,Radio;TV;Health unit/Health care worker;Family members;Friends;Religious leaders;Any person from the community
2020/05/11 1:09:40 AM GMT,Central,Female,22,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders;Any person from the community,TV,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted,No,,"stay at home, so I don’t infect others;I wear a mask",Radio;TV;Health unit/Health care worker
2020/05/11 1:41:13 AM GMT,Western North,Female,19,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers,Radio,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese;Asian,"I have never had the flu;stay at home, so I don’t infect others",Radio;TV
2020/05/11 5:23:52 AM GMT,Brong Ahafo,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members,Radio;TV;Health unit/Health care worker;Community health workers,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I would stay in quarantine;Then call the emergency number to come and take me to a quarantine center for testing and treatment ,Most at risk groups;How to treat it,Yes,Chinese;Italians,I go to the health unit,Community health workers
2020/05/11 8:30:58 AM GMT,Greater Accra,Female,27,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker,TV;Social Media (not WhatsApp),Very dangerous,Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Airborne;Direct contact with infected people.;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I would stay in quarantine,Most at risk groups,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others;I wear a mask;I go to the health unit",TV;Health unit/Health care worker;Community health workers
2020/05/11 1:11:53 PM GMT,Ashanti,Female,20,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends,TV;Health unit/Health care worker,Very dangerous,Elderly persons;Health workers,No,Blood transfusion;Droplets from infected people;Airborne;Contact with contaminated animals;Eating contaminated food;Drinking unclean water,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Eliminate standing water;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,No,Chinese,I go to the health unit,Radio;TV;Community health workers
2020/05/11 2:40:10 PM GMT,Central,Female,25,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;Social Media (not WhatsApp);Family members;Friends;Other community mobilisers,Radio;TV;Health unit/Health care worker;Community health workers,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Sneezing,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals;Wearing of nose mask,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine;I will contact the COVID-19 emergency response team,Most at risk groups;How to treat it,Yes,People who have recovered from the disease,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV;Health unit/Health care worker
2020/05/11 4:28:54 PM GMT,Western,Female,21,Tertiary/University,Student teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Health unit/Health care worker;Community health workers,Radio;TV;Health unit/Health care worker;Community health workers,Very dangerous,Adults;Elderly persons;Pregnant women,No,Droplets from infected people;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,No,,"stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Radio;TV;Health unit/Health care worker;Community health workers
2020/05/11 6:07:29 PM GMT,Western,Female,20,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Any person from the community,Radio;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,Very dangerous,Youth;Adults;Elderly persons;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese;Asian;Italians,"Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others;I wear a mask",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders
2020/05/11 8:21:10 PM GMT,Western,Female,21,Primary/Mid/Secondary,Students,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders;Any person from the community,Health unit/Health care worker;Community health workers;Red Cross Red Crescent volunteers;Religious leaders,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals;Wear nose mask,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Staying in doors going out only when its neccessary,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,No,,"Nothing, I continue with my normal life, after some time the flu goes away;I drink tea until I recover",Health unit/Health care worker;Family members
2020/05/11 10:04:38 PM GMT,Western,Female,20,Tertiary/University,Schooling,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,Radio;TV;Health unit/Health care worker;Community health workers;Religious leaders,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Blood transfusion;Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Eating contaminated food;Drinking unclean water,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,I have never had the flu;I wear a mask,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders
2020/05/11 10:05:02 PM GMT,Western,Female,20,Tertiary/University,Schooling,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,Radio;TV;Health unit/Health care worker;Community health workers;Religious leaders,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Blood transfusion;Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Eating contaminated food;Drinking unclean water,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,I have never had the flu;I wear a mask,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders
2020/05/12 3:08:18 AM GMT,Western,Female,25,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Traditional midwives,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders;Any person from the community,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,Most at risk groups;How to treat it,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders
2020/05/12 9:06:14 AM GMT,Western,Female,23,Tertiary/University,Student Teacher ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Social Media (not WhatsApp);Health unit/Health care worker,TV;Health unit/Health care worker,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to treat it,Yes,Chinese,I wear a mask,Radio;TV;Health unit/Health care worker
2020/05/12 10:18:56 PM GMT,Western,Female,22,Tertiary/University,Student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders,Radio;TV;Family members,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Elderly persons;Health workers,No,Airborne,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,,I have never had the flu,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders
2020/05/12 10:50:30 PM GMT,Ashanti,Female,20,Tertiary/University,Teacher trainee,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted,Radio;TV;Health unit/Health care worker;Community health workers;Religious leaders,Radio;TV;Health unit/Health care worker,Very dangerous,Adults;Elderly persons;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit,What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,I go to the health unit,Radio;TV;Health unit/Health care worker
2020/05/13 7:05:35 AM GMT,Western,Female,23,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp,TV,Very dangerous,Adolescents up to 15 years old;Elderly persons;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing,Yes,I will go to the hospital / health unit,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away",TV
